SYMBOL	DATE	OPEN	HIGH	LOW	CLOSE	VOLUME
CHEMFAB	2026-02-13	395.8	410.0	383.2	402.95	11646
CHEMICAL	2026-02-13	28.7	28.99	28.25	28.39	1101661
CHEMPLASTS	2026-02-13	329.75	330.85	314.1	318.3	169669
CHENNPETRO	2026-02-13	896.9	897.0	864.75	879.0	717225
CHETANA	2026-02-13	48.6	48.6	48.6	48.6	1600
CHEVIOT	2026-02-13	1070.0	1087.0	1025.5	1079.3	4081
CHOICEGOLD	2026-02-13	153.33	165.9	150.64	154.83	30519
CHOICEIN	2026-02-13	766.0	771.0	751.05	753.85	213399
CHOLAFIN	2026-02-13	1727.3	1731.0	1703.0	1709.4	1544271
CHOLAHLDNG	2026-02-13	1754.0	1754.8	1702.2	1710.1	134512
CIEINDIA	2026-02-13	450.0	463.95	444.7	456.55	309188
CIFL	2026-02-13	32.54	33.3	31.92	32.73	71651
CIGNITITEC	2026-02-13	1355.0	1368.0	1310.2	1338.6	160450
CINELINE	2026-02-13	88.0	88.0	85.0	85.61	5213
CINEVISTA	2026-02-13	16.14	16.14	15.22	15.44	8285
CIPLA	2026-02-13	1328.0	1336.1	1315.8	1331.5	1236946
CKKRETAIL	2026-02-13	218.3	218.3	218.25	218.3	454400
CLASSICEIL	2026-02-13	50.65	50.65	46.75	49.35	72000
CLEAN	2026-02-13	770.0	770.0	744.5	755.55	403792
CLEDUCATE	2026-02-13	49.07	50.9	49.05	49.79	158513
CLSEL	2026-02-13	280.0	321.0	280.0	291.63	8796543
CLSL	2026-02-13	47.0	47.0	47.0	47.0	2000
CMRSL	2026-02-13	68.4	68.4	68.4	68.4	800
CMSINFO	2026-02-13	310.0	328.85	302.45	322.4	1337779
CNL	2026-02-13	668.7	668.7	635.35	654.4	6604
COALINDIA	2026-02-13	412.3	417.6	408.1	408.95	8190851
COASTCORP	2026-02-13	53.87	53.87	53.87	53.87	363433
COCHINSHIP	2026-02-13	1500.4	1500.4	1462.7	1472.8	424397
COFFEEDAY	2026-02-13	32.49	35.37	32.02	33.17	7095418
COFORGE	2026-02-13	1359.4	1392.5	1334.0	1361.8	12847607
